rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
21,Liangyi Zhao,Liangyi Zhao,UNSW Sydney,AU,2,,73,44,2,0,,14,openalex,2022,2024,,,,
22,Christopher Hughes,Christopher Hughes,University of York,GB,15,,38,19,,,,,,2002,2026,,,,
23,Christopher Pompetzki,Christopher Pompetzki,-,DE,,5,,,17,0,,,,2026,2026,,,,
24,Vorrapan Chandee,Vorrapan Chandee,Kansas State University,US,17,,40,18,,,,,,2009,2026,,,,
25,Nathan Ng,Nathan Ng,University of Lethbridge,CA,23,,22,19,,,,13,openalex,2003,2025,,,,
26,Julio Andrade,Julio Andrade,University of Exeter,GB,31,,21,21,1,0,,6,openalex,2015,2015,,,,
27,"Fujii, Akio","Fujii, Akio",Rikkyo University,JP,,,10,1,,,,,,1968,2018,,,,
28,Takashi Nakamura,Takashi Nakamura,Tokyo University of Science,JP,50,,18,14,1,14,,12,openalex,2010,2010,,,,
29,William D. Banks,William D. Banks,University of Missouri,US,24,,33,15,,,,21,openalex,2024,2024,,,,
30,Maksym Radziwiłł,Maksym Radziwill,Northwestern University,US,19,,,19,1,0,,17,openalex,2023,2023,,,,
31,Igor Shparlinski,Igor Shparlinski,UNSW Sydney,AU,60,23,,16,6,44,,,,2000,2015,,,,
32,Michael Rubinstein,Michael Rubinstein,University of Waterloo,CA,30,,29,18,2,1,,3,openalex,2025,2025,,,,
33,M. A. Korolev,M. A. Korolev,Russian Academy of Sciences,RU,84,,13,8,,,,15,openalex,2017,2022,,,,
34,Liu S,Liu S,South China Agricultural University,CN,,12,,,10,0,,,,2025,2025,,,,
35,R. R. Hall,R. R. Hall,University of York,GB,,,26,,,,,,,1981,1982,,,,
36,Koji Chinen,Koji Chinen,Kindai University,JP,116,14,,7,9,30,,5,openalex,2007,2021,,,,
37,Jerzy Kaczorowski,Jerzy Kaczorowski,Adam Mickiewicz University in Poznań,PL,101,87,19,11,3,18,,19,openalex,2008,2016,,,,
38,Ebrahim Elsayed,Ebrahim Elsayed,Mansoura University,EG,,15,,,9,0,,,,2026,2026,,,,
39,Greg Martin,Greg Martin,University of British Columbia,CA,73,,23,13,1,0,,,,1998,2025,,,,
40,Emanuel Carneiro,Emanuel Carneiro,The Abdus Salam International Centre for Theoretical Physics (ICTP),IT,45,,32,13,,,,18,openalex,2019,2024,,,,
41,"Forrester, P. J.","Forrester, P. J.",University of Melbourne,AU,,,30,,1,0,,,,1982,2026,,,,
42,J. Maurice Rojas,J. Maurice Rojas,City University of Hong Kong,HK,172,8,,8,13,57,,14,openalex,1998,2017,,,,
